date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:58	51803/51803	---M-Z	200	added ('OK')	text/html	etag:%22b8e1373-ca5b-5bcae8e57bf80-gzip%22	https://codervent.com/syntrans/demo/vertical/index2.html	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/index2.html	(from )
17:30:58	98/98	---M-Z	200	added ('OK')	text/plain	etag:%22b8c3255-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
17:30:58	2141/2141	---M--	200	added ('OK')	image/png	etag:%22b8e122e-85d-5b4f44c610580%22	https://codervent.com/syntrans/demo/vertical/assets/images/favicon-32x32.png	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/images/favicon-32x32.png	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:30:59	6727/6727	---M-Z	200	added ('OK')	text/css	etag:%22b8e1335-1a47-5b43eb67a6580-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:30:59	4125/4125	---M-Z	200	added ('OK')	text/css	etag:%22b8e132c-101d-5b43eb61ed800-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/plugins/simplebar/css/simplebar.css	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:30:59	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22b8e1321-a9a-5b43eb6005380-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:30:59	1929/1929	---M-Z	200	added ('OK')	text/css	etag:%22b8e1300-789-5b43eb3f98700-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:31:00	2339/2339	---M-Z	200	added ('OK')	text/css	etag:%22b8e0ffa-923-5b56cdfd61d00-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/css/pace.min.css	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/css/pace.min.css	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:31:00	12364/12364	---M-Z	200	added ('OK')	application/javascript	etag:%22b8e1297-304c-5b43ea4f45000-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/js/pace.min.js	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/js/pace.min.js	(from https://codervent.com/syntrans/demo/vertical/index2.html)
17:31:01	209214/209214	---M-Z	200	added ('OK')	text/css	etag:%22b8e0ff7-3313e-5b56b9ca8f580-gzip%22	https://codervent.com/syntrans/demo/vertical/assets/css/bootstrap.min.css	C:/Users/Muhammed%20Berkay%20AKAR/Desktop/AdminTheme/AdminTheme/codervent.com/syntrans/demo/vertical/assets/css/bootstrap.min.css	(from https://codervent.com/syntrans/demo/vertical/index2.html)
